split,candidate_rows,groups,true_safe_candidate_ratio,cert_safe_candidate_ratio,groups_with_true_safe_ratio,groups_with_cert_safe_ratio,mean_risk_embb,mean_risk_urllc_like,mean_cert_risk_embb,mean_cert_risk_urllc_like
calib,35001,11667,0.8059769720865119,0.8886317533784749,1.0,0.9994000171423674,0.5,0.5,0.4999828850352728,0.5193869863767059
test,35007,11669,0.8038392321535693,0.8879366983746108,1.0,0.9992287256834348,0.5,0.5,0.5002372575943463,0.51927733326653
train,105006,35002,0.8023922442527094,0.885454164523932,1.0,0.9996857322438718,0.5,0.5,0.49992174203199014,0.5196299840474661
all,175014,58338,0.8033985852560367,0.8865862159598661,1.0,0.9995371798827523,0.5,0.5,0.49999708068803655,0.5195108483933898
