policy,num_groups,raw_true_safe_rate,shielded_true_safe_rate,raw_true_unsafe_rate,shielded_true_unsafe_rate,unsafe_reduction_abs,unsafe_reduction_rel,utility_raw_mean,utility_shielded_mean,utility_retention,action_changed_rate,mean_action_distance,p95_action_distance,pass_through_rate,shield_to_safe_rate,fallback_rate
Raw-Utility,60000,0.29715,0.99995,0.70285,4.999999999999449e-05,0.7028,0.9999288610656611,0.7648451667344999,0.6958221610688335,0.9098642083439196,0.7028,14.7588,21.0,0.2972,0.7028,0.0
Raw-LowRisk,60000,0.9160666666666668,1.0,0.0839333333333333,0.0,0.0839333333333333,1.0,0.7618866564436665,0.7551201777303331,0.9909583427939856,0.0839333333333333,1.7626,21.0,0.9160666666666668,0.0839333333333333,0.0
Raw-Balanced,60000,0.8610333333333333,0.99995,0.1389666666666666,4.999999999999449e-05,0.1389166666666667,0.9996402014871671,0.7637196662049999,0.7497493079261667,0.9818294398102833,0.1389166666666666,2.91725,21.0,0.8610833333333333,0.1389166666666666,0.0
Raw-eMBB,60000,1.0,1.0,0.0,0.0,0.0,0.0,0.7631264239596665,0.7631264239596665,0.9999999986895356,0.0,0.0,0.0,1.0,0.0,0.0
Raw-URLLC,60000,0.0,0.99995,1.0,4.999999999999449e-05,0.99995,0.99995,0.4812324181441666,0.6677517952898334,1.3902000688620282,1.0,23.99985,24.0,0.0,1.0,0.0
