noise_scale,alpha,num_controllers,max_shielded_unsafe_rate,mean_shielded_unsafe_rate,min_utility_retention,mean_utility_retention,max_fallback_rate,mean_action_distance,max_action_changed_rate,mean_unsafe_reduction_rel_on_risky,min_unsafe_reduction_rel_on_risky,selection_reason
0.25,2.5,5.0,0.03536666666666666,0.014070000000000004,0.9183818657825734,0.969494280465152,1.6666666666666667e-05,6.1835,0.6684666666666667,0.9438838774815025,0.9269057171514541,"smallest alpha satisfying unsafe<=5%, retention>=90%, fallback<=10%"
0.5,2.5,5.0,0.1236666666666667,0.05151333333333332,0.9357389526264822,0.9769397995506715,0.0039833333333333335,8.27976,0.6147166666666667,0.8165443022054578,0.7718154463390171,no feasible alpha; selected lowest unsafe rate with highest retention tie-break
0.75,2.5,5.0,0.18359999999999999,0.08968333333333331,0.9453180567207417,0.9801125538797452,0.025,11.07687,0.6012833333333333,0.6957222693128889,0.5878886659979943,no feasible alpha; selected lowest unsafe rate with highest retention tie-break
1.0,2.5,5.0,0.21881666666666666,0.12109666666666667,0.9495178919478346,0.9810707620697381,0.05296666666666667,13.397960000000001,0.6068,0.5955556011361426,0.40559177532597834,no feasible alpha; selected lowest unsafe rate with highest retention tie-break
