noise_scale,alpha,num_controllers,max_shielded_unsafe_rate,mean_shielded_unsafe_rate,min_utility_retention,mean_utility_retention,max_fallback_rate,mean_action_distance,max_action_changed_rate,mean_unsafe_reduction_rel_on_risky,min_unsafe_reduction_rel_on_risky
0.25,1.0,5,0.10683333333333334,0.04047333333333334,0.9245025890400477,0.9706430344462588,0.0,5.0753900000000005,0.5960166666666666,0.8472591870300832,0.826730190571715
0.25,1.25,5,0.08801666666666663,0.03359333333333334,0.9224048578429112,0.970002590834755,0.0,5.27379,0.61485,0.8716869864638821,0.8499247743229688
0.25,1.5,5,0.07243333333333335,0.02776333333333334,0.9207584551950464,0.9695152602473204,0.0,5.45526,0.6305166666666666,0.8928445116819423,0.8716148445336007
0.25,2.0,5,0.05028333333333335,0.019520000000000003,0.9188717608203821,0.9691596627792671,0.0,5.79913,0.6528833333333334,0.9233452143066864,0.9039618856569707
0.25,2.5,5,0.03536666666666666,0.014070000000000004,0.9183818657825734,0.969494280465152,1.6666666666666667e-05,6.1835,0.6684666666666667,0.9438838774815025,0.9269057171514541
0.5,1.0,5,0.20665,0.08240333333333334,0.941686092078203,0.9788914870850686,0.0005833333333333334,5.74177,0.5103166666666666,0.7089337385275201,0.6871865596790373
0.5,1.25,5,0.19033333333333335,0.07568333333333335,0.9402679302173016,0.9784171242568194,0.0006666666666666666,6.0947499999999994,0.5294666666666666,0.7317267859299482,0.704864593781344
0.5,1.5,5,0.17441666666666666,0.06956,0.9389797624185632,0.9779872626454805,0.0009666666666666667,6.4798,0.5481,0.7533099028815379,0.7244232698094286
0.5,2.0,5,0.14659999999999995,0.05954666666666666,0.936967329470979,0.9773728219105676,0.0021,7.3089699999999995,0.5826333333333333,0.7887153778414553,0.7533851554663988
0.5,2.5,5,0.1236666666666667,0.05151333333333332,0.9357389526264822,0.9769397995506715,0.0039833333333333335,8.27976,0.6147166666666667,0.8165443022054578,0.7718154463390171
0.75,1.0,5,0.2447666666666667,0.10732333333333333,0.9492256388939544,0.9818572529941365,0.007316666666666667,8.187000000000001,0.5108333333333334,0.6397885529687654,0.5952858575727185
0.75,1.25,5,0.23236666666666672,0.10313000000000001,0.9482915278732537,0.981462768422625,0.009016666666666666,8.625589999999999,0.5274,0.6527109048291256,0.5974172517552659
0.75,1.5,5,0.22075,0.09910333333333335,0.9475362116573108,0.9811116294028193,0.011066666666666667,9.08862,0.5431,0.6655476894114493,0.6011785356068202
0.75,2.0,5,0.2009833333333333,0.09326333333333332,0.9462830496949756,0.9804926539454687,0.016616666666666665,10.0793,0.57295,0.6841845913111629,0.5985456369107321
0.75,2.5,5,0.18359999999999999,0.08968333333333331,0.9453180567207417,0.9801125538797452,0.025,11.07687,0.6012833333333333,0.6957222693128889,0.5878886659979943
1.0,1.0,5,0.26303333333333334,0.13041333333333333,0.9517312718654807,0.9822805505389123,0.023416666666666665,10.665970000000002,0.5365833333333333,0.5716991918562705,0.46364092276830476
1.0,1.25,5,0.25506666666666666,0.12839666666666666,0.9512263479441448,0.9820448985097852,0.027083333333333334,11.09437,0.5485833333333333,0.5773292421445039,0.4549899699097291
1.0,1.5,5,0.24693333333333334,0.12666666666666665,0.9508211024733643,0.9818787675715231,0.031166666666666665,11.55315,0.561,0.5823850220358561,0.4474674022066198
1.0,2.0,5,0.2325666666666667,0.12342666666666668,0.950149682562822,0.9814457203364555,0.040716666666666665,12.460629999999998,0.5839166666666666,0.5905058237321056,0.42853560682046177
1.0,2.5,5,0.21881666666666666,0.12109666666666667,0.9495178919478346,0.9810707620697381,0.05296666666666667,13.397960000000001,0.6068,0.5955556011361426,0.40559177532597834
