K,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_decisions_per_second
5,0.0339939925493672,0.0567000824958086,0.0980999320745468,29416.96237999548
10,0.0346642411251862,0.0579999759793281,0.0927001237869262,28848.172281047675
20,0.0344590093862886,0.0587000977247953,0.0922000035643577,29019.9868708032
50,0.0348100449641545,0.0591999851167202,0.0900998734869062,28727.340082468058
100,0.0351863328646868,0.059699872508645,0.0849010632373401,28420.12561573827
200,0.0361592913729449,0.0612000003457069,0.0901021016761679,27655.40921857125
500,0.0398981978232041,0.0709998421370983,0.0980999320745468,25063.788705597966
1000,0.0495558987744152,0.0937001314014196,0.1624999567866325,20179.23243672661
