noise_scale,alpha,controller,candidate_group_id,raw_candidate_id,shield_candidate_id,shield_mode,raw_true_joint_safe,shield_true_joint_safe,raw_true_management_utility,shield_true_management_utility,raw_true_V_embb,shield_true_V_embb,raw_true_V_urllc,shield_true_V_urllc,raw_embb_slice_prb,raw_urllc_slice_prb,shield_embb_slice_prb,shield_urllc_slice_prb
0.25,1.0,PF,4261,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4262,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4263,2,2,pass,1,1,0.6374081,0.6374081,0.21929021,0.21929021,0.023887053,0.023887053,21.0,29.0,21.0,29.0
0.25,1.0,PF,4264,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4265,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4266,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4267,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4268,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
0.25,1.0,PF,4269,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4270,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4271,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4272,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4273,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
0.25,1.0,PF,4274,2,3,shield_to_safe,1,1,0.6677499,0.7168897,0.20378518,0.17843129,0.02274346,0.024729168,21.0,29.0,30.0,20.0
0.25,1.0,PF,4275,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4276,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4277,2,2,pass,1,1,0.65129316,0.65129316,0.21678324,0.21678324,0.023225917,0.023225917,21.0,29.0,21.0,29.0
0.25,1.0,PF,4278,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4279,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.25,1.0,PF,4280,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
