noise_scale,variant,controller,candidate_group_id,raw_candidate_id,shield_candidate_id,shield_mode,raw_true_joint_safe,shield_true_joint_safe,raw_true_management_utility,shield_true_management_utility,raw_true_V_embb,shield_true_V_embb,raw_true_V_urllc,shield_true_V_urllc,raw_embb_slice_prb,raw_urllc_slice_prb,shield_embb_slice_prb,shield_urllc_slice_prb
0.0,Full-CertiTwin,PF,3892,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3893,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3894,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3895,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3896,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3897,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3898,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3899,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3900,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3901,2,2,pass,1,1,0.6682329,0.6682329,0.20650832,0.20650832,0.025042687,0.025042687,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3902,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3903,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3904,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3905,2,2,pass,1,1,0.65129316,0.65129316,0.21678324,0.21678324,0.023225917,0.023225917,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3906,2,2,pass,1,1,0.65129316,0.65129316,0.21678324,0.21678324,0.023225917,0.023225917,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3907,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
